title,author,time,link
龍潭幼兒園推沉浸式客語教學 培養學童「講客」習慣,中華日報,2025-05-28 17:13:50,/%E9%BE%8D%E6%BD%AD%E5%B9%BC%E5%85%92%E5%9C%92%E6%8E%A8%E6%B2%89%E6%B5%B8%E5%BC%8F%E5%AE%A2%E8%AA%9E%E6%95%99%E5%AD%B8-%E5%9F%B9%E9%A4%8A%E5%AD%B8%E7%AB%A5-%E8%AC%9B%E5%AE%A2-%E7%BF%92%E6%85%A3-091350750.html
「至臻麥森」特展插旗新竹大遠百  馬第斯大師現身分享瓷藝風華,民眾日報,2025-05-28 17:12:19,/%E8%87%B3%E8%87%BB%E9%BA%A5%E6%A3%AE-%E7%89%B9%E5%B1%95%E6%8F%92%E6%97%97%E6%96%B0%E7%AB%B9%E5%A4%A7%E9%81%A0%E7%99%BE-%E9%A6%AC%E7%AC%AC%E6%96%AF%E5%A4%A7%E5%B8%AB%E7%8F%BE%E8%BA%AB%E5%88%86%E4%BA%AB%E7%93%B7%E8%97%9D%E9%A2%A8%E8%8F%AF-091219073.html
李俊俋認「公務車送愛犬美容」　蔡正元狠酸：狗比官大,中天新聞網,2025-05-28 17:12:11,/%E6%9D%8E%E4%BF%8A%E4%BF%8B%E8%AA%8D-%E5%85%AC%E5%8B%99%E8%BB%8A%E9%80%81%E6%84%9B%E7%8A%AC%E7%BE%8E%E5%AE%B9-%E8%94%A1%E6%AD%A3%E5%85%83%E7%8B%A0%E9%85%B8-%E7%8B%97%E6%AF%94%E5%AE%98%E5%A4%A7-071846163.html
【MSI25】2025《英雄聯盟》季中邀請賽懶人包來了！賽制、時間、參賽隊伍、直播網址全在這！,Yahoo奇摩遊戲編輯部,2025-05-28 17:12:06,/%E3%80%90msi25%E3%80%912025%E3%80%8A%E8%8B%B1%E9%9B%84%E8%81%AF%E7%9B%9F%E3%80%8B%E5%AD%A3%E4%B8%AD%E9%82%80%E8%AB%8B%E8%B3%BD%E6%87%B6%E4%BA%BA%E5%8C%85%E4%BE%86%E4%BA%86%EF%BC%81%E8%B3%BD%E5%88%B6%E3%80%81%E6%99%82%E9%96%93%E3%80%81%E5%8F%83%E8%B3%BD%E9%9A%8A%E4%BC%8D%E3%80%81%E7%9B%B4%E6%92%AD%E7%B6%B2%E5%9D%80%E5%85%A8%E5%9C%A8%E9%80%99%EF%BC%81-091206661.html
休漁期成藉口？海巡署控陸海警「亮劍行動」擾台　每月2小時常態騷擾,TVBS新聞網,2025-05-28 17:12:03,/%E4%BC%91%E6%BC%81%E6%9C%9F%E6%88%90%E8%97%89%E5%8F%A3-%E6%B5%B7%E5%B7%A1%E7%BD%B2%E6%8E%A7%E9%99%B8%E6%B5%B7%E8%AD%A6-%E4%BA%AE%E5%8A%8D%E8%A1%8C%E5%8B%95-%E6%93%BE%E5%8F%B0-%E6%AF%8F%E6%9C%882%E5%B0%8F%E6%99%82%E5%B8%B8%E6%85%8B%E9%A8%B7%E6%93%BE-091203488.html
中信金發布重訊！辜仲諒宣布6/13股東會後辭董事,中天新聞網,2025-05-28 17:11:47,/%E4%B8%AD%E4%BF%A1%E9%87%91%E7%99%BC%E5%B8%83%E9%87%8D%E8%A8%8A-%E8%BE%9C%E4%BB%B2%E8%AB%92%E5%AE%A3%E5%B8%836-13%E8%82%A1%E6%9D%B1%E6%9C%83%E5%BE%8C%E8%BE%AD%E8%91%A3%E4%BA%8B-091147929.html
太誇張！聯結車違停買檳榔還闖紅燈 遭路人直擊拍下PO網,中華日報,2025-05-28 17:11:10,/%E5%A4%AA%E8%AA%87%E5%BC%B5-%E8%81%AF%E7%B5%90%E8%BB%8A%E9%81%95%E5%81%9C%E8%B2%B7%E6%AA%B3%E6%A6%94%E9%82%84%E9%97%96%E7%B4%85%E7%87%88-%E9%81%AD%E8%B7%AF%E4%BA%BA%E7%9B%B4%E6%93%8A%E6%8B%8D%E4%B8%8Bpo%E7%B6%B2-091110903.html
「接送寵物、看牙」連環爆　監院：6月2日起全體職員禁用公務車,中天新聞網,2025-05-28 17:10:47,/%E6%8E%A5%E9%80%81%E5%AF%B5%E7%89%A9-%E7%9C%8B%E7%89%99-%E9%80%A3%E7%92%B0%E7%88%86-%E7%9B%A3%E9%99%A2-6%E6%9C%882%E6%97%A5%E8%B5%B7%E5%85%A8%E9%AB%94%E8%81%B7%E5%93%A1%E7%A6%81%E7%94%A8%E5%85%AC%E5%8B%99%E8%BB%8A-091047949.html
《艾爾登法環 黑夜君臨》即將推出！總監透露從《黑暗靈魂3》就開始構思,Yahoo奇摩遊戲編輯部,2025-05-28 17:10:04,/%E3%80%8A%E8%89%BE%E7%88%BE%E7%99%BB%E6%B3%95%E7%92%B0-%E9%BB%91%E5%A4%9C%E5%90%9B%E8%87%A8%E3%80%8B%E5%8D%B3%E5%B0%87%E6%8E%A8%E5%87%BA%EF%BC%81%E7%B8%BD%E7%9B%A3%E9%80%8F%E9%9C%B2%E5%BE%9E%E3%80%8A%E9%BB%91%E6%9A%97%E9%9D%88%E9%AD%823%E3%80%8B%E5%B0%B1%E9%96%8B%E5%A7%8B%E6%A7%8B%E6%80%9D-091004447.html
快訊／震撼彈！中信金辜仲諒宣布辭任董事長　6月股東會後生效,三立新聞網 setn.com,2025-05-28 17:09:00,/%E5%BF%AB%E8%A8%8A-%E9%9C%87%E6%92%BC%E5%BD%88-%E4%B8%AD%E4%BF%A1%E9%87%91%E8%BE%9C%E4%BB%B2%E8%AB%92%E5%AE%A3%E5%B8%83%E8%BE%AD%E4%BB%BB%E8%91%A3%E4%BA%8B%E9%95%B7-6%E6%9C%88%E8%82%A1%E6%9D%B1%E6%9C%83%E5%BE%8C%E7%94%9F%E6%95%88-090900851.html
自曝「很不喜歡林昶佐」　呱吉揭他私下真面目：以後有任何要求都不會答應,風傳媒,2025-05-28 17:08:55,/%E8%87%AA%E6%9B%9D-%E5%BE%88%E4%B8%8D%E5%96%9C%E6%AD%A1%E6%9E%97%E6%98%B6%E4%BD%90-%E5%91%B1%E5%90%89%E6%8F%AD%E4%BB%96%E7%A7%81%E4%B8%8B%E7%9C%9F%E9%9D%A2%E7%9B%AE-%E4%BB%A5%E5%BE%8C%E6%9C%89%E4%BB%BB%E4%BD%95%E8%A6%81%E6%B1%82%E9%83%BD%E4%B8%8D%E6%9C%83%E7%AD%94%E6%87%89-090855460.html
端午連假何處去 勞發署中彰投分署特色計畫旅遊,中華日報,2025-05-28 17:07:56,/%E7%AB%AF%E5%8D%88%E9%80%A3%E5%81%87%E4%BD%95%E8%99%95%E5%8E%BB-%E5%8B%9E%E7%99%BC%E7%BD%B2%E4%B8%AD%E5%BD%B0%E6%8A%95%E5%88%86%E7%BD%B2%E7%89%B9%E8%89%B2%E8%A8%88%E7%95%AB%E6%97%85%E9%81%8A-090756707.html
影/台南27歲正妹開車暴衝！　撞騎士後直直撞進店家,中天新聞網,2025-05-28 17:07:44,/%E5%BD%B1-%E5%8F%B0%E5%8D%9727%E6%AD%B2%E6%AD%A3%E5%A6%B9%E9%96%8B%E8%BB%8A%E6%9A%B4%E8%A1%9D-%E6%92%9E%E9%A8%8E%E5%A3%AB%E5%BE%8C%E7%9B%B4%E7%9B%B4%E6%92%9E%E9%80%B2%E5%BA%97%E5%AE%B6-090744473.html
端節關懷榮民眷    新北榮服處鏈結企業團體溫馨送暖,民眾日報,2025-05-28 17:07:34,/%E7%AB%AF%E7%AF%80%E9%97%9C%E6%87%B7%E6%A6%AE%E6%B0%91%E7%9C%B7-%E6%96%B0%E5%8C%97%E6%A6%AE%E6%9C%8D%E8%99%95%E9%8F%88%E7%B5%90%E4%BC%81%E6%A5%AD%E5%9C%98%E9%AB%94%E6%BA%AB%E9%A6%A8%E9%80%81%E6%9A%96-090734439.html
咳嗽、鼻水也吃抗生素？ 細菌感染引起的感冒才需要吃,NOW健康,2025-05-28 17:07:00,/%E5%92%B3%E5%97%BD-%E9%BC%BB%E6%B0%B4%E4%B9%9F%E5%90%83%E6%8A%97%E7%94%9F%E7%B4%A0-%E7%B4%B0%E8%8F%8C%E6%84%9F%E6%9F%93%E5%BC%95%E8%B5%B7%E7%9A%84%E6%84%9F%E5%86%92%E6%89%8D%E9%9C%80%E8%A6%81%E5%90%83-090700017.html
台中女用餐突吐血昏厥休克　急送醫揭「食道血管爆裂」,引新聞,2025-05-28 17:06:59,/%E5%8F%B0%E4%B8%AD%E5%A5%B3%E7%94%A8%E9%A4%90%E7%AA%81%E5%90%90%E8%A1%80%E6%98%8F%E5%8E%A5%E4%BC%91%E5%85%8B-%E6%80%A5%E9%80%81%E9%86%AB%E6%8F%AD-%E9%A3%9F%E9%81%93%E8%A1%80%E7%AE%A1%E7%88%86%E8%A3%82-090659512.html
埔里盆地群生態多樣 跨域護魚池琴蛙、纖紅蜻蜓,中央社,2025-05-28 17:06:51,/%E5%9F%94%E9%87%8C%E7%9B%86%E5%9C%B0%E7%BE%A4%E7%94%9F%E6%85%8B%E5%A4%9A%E6%A8%A3-%E8%B7%A8%E5%9F%9F%E8%AD%B7%E9%AD%9A%E6%B1%A0%E7%90%B4%E8%9B%99-%E7%BA%96%E7%B4%85%E8%9C%BB%E8%9C%93-090651231.html
「桃園市民卡2.0」行動支付上路　6月起線上繳停車費享5折優惠,台灣好新聞,2025-05-28 17:06:39,/%E6%A1%83%E5%9C%92%E5%B8%82%E6%B0%91%E5%8D%A12-0-%E8%A1%8C%E5%8B%95%E6%94%AF%E4%BB%98%E4%B8%8A%E8%B7%AF-6%E6%9C%88%E8%B5%B7%E7%B7%9A%E4%B8%8A%E7%B9%B3%E5%81%9C%E8%BB%8A%E8%B2%BB%E4%BA%AB5%E6%8A%98%E5%84%AA%E6%83%A0-090639385.html
台南水雉繁殖獎勵金開始申請 已有40人通報82巢,中華日報,2025-05-28 17:05:58,/%E5%8F%B0%E5%8D%97%E6%B0%B4%E9%9B%89%E7%B9%81%E6%AE%96%E7%8D%8E%E5%8B%B5%E9%87%91%E9%96%8B%E5%A7%8B%E7%94%B3%E8%AB%8B-%E5%B7%B2%E6%9C%8940%E4%BA%BA%E9%80%9A%E5%A0%B182%E5%B7%A2-090558433.html
被爆公務卡刷鉅款買水果 對手轟李在明：家裡養大象？,TVBS新聞網,2025-05-28 17:05:44,/%E8%A2%AB%E7%88%86%E5%85%AC%E5%8B%99%E5%8D%A1%E5%88%B7%E9%89%85%E6%AC%BE%E8%B2%B7%E6%B0%B4%E6%9E%9C-%E5%B0%8D%E6%89%8B%E8%BD%9F%E6%9D%8E%E5%9C%A8%E6%98%8E-%E5%AE%B6%E8%A3%A1%E9%A4%8A%E5%A4%A7%E8%B1%A1-090544064.html
蔡阿嘎突PO片「幫家寧逆轉勝」！揭5內幕喊：Andy準備翻車,民視,2025-05-28 16:59:54,/%E8%94%A1%E9%98%BF%E5%98%8E%E7%AA%81po%E7%89%87-%E5%B9%AB%E5%AE%B6%E5%AF%A7%E9%80%86%E8%BD%89%E5%8B%9D-%E6%8F%AD5%E5%85%A7%E5%B9%95%E5%96%8A-andy%E6%BA%96%E5%82%99%E7%BF%BB%E8%BB%8A-085954398.html
江啟臣接見歐洲青年政治領袖團 盼深化台歐關係,中央社,2025-05-28 16:59:45,/%E6%B1%9F%E5%95%9F%E8%87%A3%E6%8E%A5%E8%A6%8B%E6%AD%90%E6%B4%B2%E9%9D%92%E5%B9%B4%E6%94%BF%E6%B2%BB%E9%A0%98%E8%A2%96%E5%9C%98-%E7%9B%BC%E6%B7%B1%E5%8C%96%E5%8F%B0%E6%AD%90%E9%97%9C%E4%BF%82-085945463.html
至善深耕亞洲兒少發展 服務版圖擴及不丹、斯里蘭卡,中央社,2025-05-28 16:59:42,/%E8%87%B3%E5%96%84%E6%B7%B1%E8%80%95%E4%BA%9E%E6%B4%B2%E5%85%92%E5%B0%91%E7%99%BC%E5%B1%95-%E6%9C%8D%E5%8B%99%E7%89%88%E5%9C%96%E6%93%B4%E5%8F%8A%E4%B8%8D%E4%B8%B9-%E6%96%AF%E9%87%8C%E8%98%AD%E5%8D%A1-085942618.html
雲科大企管系成果發表會「企尋找失落碎片BA」圓滿成功,台灣新生報,2025-05-28 16:59:41,/%E9%9B%B2%E7%A7%91%E5%A4%A7%E4%BC%81%E7%AE%A1%E7%B3%BB%E6%88%90%E6%9E%9C%E7%99%BC%E8%A1%A8%E6%9C%83-%E4%BC%81%E5%B0%8B%E6%89%BE%E5%A4%B1%E8%90%BD%E7%A2%8E%E7%89%87ba-%E5%9C%93%E6%BB%BF%E6%88%90%E5%8A%9F-085941155.html
影/大陸4海警船再闖金門海域　海巡：每月4次常態騷擾,中天新聞網,2025-05-28 16:59:30,/%E5%BD%B1-%E5%A4%A7%E9%99%B84%E6%B5%B7%E8%AD%A6%E8%88%B9%E5%86%8D%E9%97%96%E9%87%91%E9%96%80%E6%B5%B7%E5%9F%9F-%E6%B5%B7%E5%B7%A1-%E6%AF%8F%E6%9C%884%E6%AC%A1%E5%B8%B8%E6%85%8B%E9%A8%B7%E6%93%BE-085930676.html
台中「超巨蛋」　盧秀燕：全力催生四顆蛋,今日新聞NOWnews,2025-05-28 16:59:19,/%E5%8F%B0%E4%B8%AD-%E8%B6%85%E5%B7%A8%E8%9B%8B-%E7%9B%A7%E7%A7%80%E7%87%95-%E5%85%A8%E5%8A%9B%E5%82%AC%E7%94%9F%E5%9B%9B%E9%A1%86%E8%9B%8B-085919195.html
世壯運跆拳道 曾櫟騁出賽（2） (圖),中央社,2025-05-28 16:59:11,/%E4%B8%96%E5%A3%AF%E9%81%8B%E8%B7%86%E6%8B%B3%E9%81%93-%E6%9B%BE%E6%AB%9F%E9%A8%81%E5%87%BA%E8%B3%BD-2-%E5%9C%96-085911349.html
世壯運跆拳道  曾櫟騁出賽（1） (圖),中央社,2025-05-28 16:59:08,/%E4%B8%96%E5%A3%AF%E9%81%8B%E8%B7%86%E6%8B%B3%E9%81%93-%E6%9B%BE%E6%AB%9F%E9%A8%81%E5%87%BA%E8%B3%BD-1-%E5%9C%96-085908819.html
網路謠傳「雲林4人死亡、學校停課」為假訊息 雲縣府籲勿轉傳,台灣新生報,2025-05-28 16:59:01,/%E7%B6%B2%E8%B7%AF%E8%AC%A0%E5%82%B3-%E9%9B%B2%E6%9E%974%E4%BA%BA%E6%AD%BB%E4%BA%A1-%E5%AD%B8%E6%A0%A1%E5%81%9C%E8%AA%B2-%E7%82%BA%E5%81%87%E8%A8%8A%E6%81%AF-%E9%9B%B2%E7%B8%A3%E5%BA%9C%E7%B1%B2%E5%8B%BF%E8%BD%89%E5%82%B3-085901128.html
